PlayerId;Year;TeamId;LeagueId;GP;Min;W;L;T/OL;ENG;SO;GA;SA;GR
81158;1972;3703;1;23;78660;0;0;0;0;0;72;0;0
81158;1974;3727;1;28;95760;0;0;0;0;0;118;901;0
81158;1974;22;0;8;24000;0;7;0;0;0;46;0;0
81158;1972;5;0;14;46800;9;3;1;0;1;39;0;0
81171;1954;200;14;23;78660;0;0;0;0;0;155;775;0
81171;1957;0;0;1;2040;0;1;0;0;0;6;0;0
81173;1934;10;0;10;36600;3;7;0;0;1;37;0;0
81173;1933;10;0;48;179400;21;19;8;0;7;113;0;0
81173;1932;10;0;48;178200;23;17;8;0;3;107;0;0
81200;1946;3711;1;64;218880;0;0;0;0;0;204;0;0
81200;1953;3705;1;9;30780;0;0;0;0;0;43;0;0
81200;1952;3729;1;53;181260;0;0;0;0;0;189;0;0
81200;1951;3729;1;68;232560;0;0;0;0;0;247;0;0
81200;1950;3729;1;70;239400;0;0;0;0;0;234;0;0
81200;1949;3729;1;55;188100;0;0;0;0;0;173;0;0
81200;1948;3729;1;66;225720;0;0;0;0;0;181;0;0
81200;1947;3711;1;65;222300;0;0;0;0;0;234;0;0
81200;1952;9;0;1;3600;0;0;1;0;0;3;0;0
81200;1950;8;0;1;3600;0;1;0;0;0;5;0;0
81200;1946;9;0;1;3600;0;1;0;0;0;5;0;0
81216;1951;10;0;3;10800;1;2;0;0;0;18;0;0
81250;1971;140;13;35;119700;0;0;0;0;0;149;1263;0
81250;1971;3696;13;7;23940;0;0;0;0;0;62;300;0
81250;1970;3696;13;27;92340;0;0;0;0;0;114;1018;0
81250;1969;3696;13;29;99180;0;0;0;0;0;146;936;0
81250;1973;1212;72;5;15780;1;4;0;0;0;27;183;0
81250;1972;1212;72;6;15600;1;3;0;0;0;17;122;0
81280;1992;185;14;25;85500;0;0;0;0;0;144;906;0
81280;1993;185;14;27;92340;0;0;0;0;0;106;707;0
81280;1994;185;14;26;88920;0;0;0;0;0;129;928;0
81280;1995;185;14;26;88920;0;0;0;0;0;75;862;0
81280;1996;42;1;40;136800;0;0;0;0;0;143;0;0
81280;2005;567;3;16;54720;0;0;0;0;0;37;0;0
81280;2005;564;3;21;71820;0;0;0;0;0;49;0;0
81280;2007;560;9;29;99180;0;0;0;0;0;59;756;0
81280;2004;39;1;20;68400;0;0;0;0;0;47;573;0
81280;2003;39;1;21;71820;0;0;0;0;0;45;556;0
81280;2002;39;1;16;54720;0;0;0;0;0;50;459;0
81280;2001;39;1;34;116280;0;0;0;0;0;81;0;0
81280;2000;39;1;29;99180;0;0;0;0;0;70;0;0
81280;1998;42;1;53;181260;0;0;0;0;0;137;1671;0
81280;1997;42;1;32;109440;0;0;0;0;0;108;1038;0
81280;1998;30;0;0;0;0;0;0;0;0;0;0;0
81280;1997;30;0;7;16380;0;1;2;2;0;12;113;0
81285;1980;21;0;30;98520;6;15;6;3;0;103;0;0
81285;1979;21;0;49;154440;9;27;6;3;0;161;0;0
81285;1977;10;0;4;14400;2;2;0;0;0;14;0;0
81292;1997;36;1;8;27360;0;0;0;0;0;31;0;0
81292;1996;138;13;4;13680;0;0;0;0;0;7;100;0
81292;1996;142;13;23;78660;0;0;0;0;0;72;847;0
81292;1996;139;13;11;37620;0;0;0;0;0;48;432;0
81292;1995;138;13;40;136800;0;0;0;0;0;135;1195;0
81292;1994;138;13;27;92340;0;0;0;0;0;86;768;0
81292;1997;1514;10;21;71820;0;0;0;0;0;60;674;0
81292;2014;612;16;22;75240;0;0;0;0;0;50;658;0
81292;2011;633;6;16;54720;0;0;0;0;0;55;458;0
81292;2010;633;6;48;164160;0;0;0;0;0;128;1280;0
81292;2009;633;6;54;184680;0;0;0;0;0;126;1615;0
81292;2008;57;1;23;78660;0;0;0;0;0;73;0;0
81292;2007;58;1;11;37620;0;0;0;0;0;17;274;0
81292;2007;49;1;1;3600;0;0;0;0;0;28;0;0
81292;2005;63;1;46;157320;0;0;0;0;0;133;0;0
81292;2004;63;1;23;78660;0;0;0;0;0;63;797;0
81292;2003;59;1;13;44460;0;0;0;0;0;34;343;0
81292;2002;59;1;16;54720;0;0;0;0;0;29;460;0
81292;1999;59;1;11;37620;0;0;0;0;0;45;346;0
81292;2007;11;0;19;49680;5;6;1;3;0;44;385;0
81292;2006;3;0;20;48240;3;5;2;1;0;46;371;0
81292;2005;3;0;11;40620;9;0;2;0;1;25;330;0
81292;2003;15;0;22;64020;7;9;0;4;1;53;574;0
81292;2002;15;0;21;67920;6;13;0;3;1;59;589;0
81292;2001;15;0;21;65640;3;12;1;3;0;65;537;0
81292;2000;15;0;36;123000;20;14;1;5;0;107;973;0
81292;1999;15;0;51;167340;23;21;3;3;2;120;1392;0
81292;1998;15;0;17;45360;4;3;6;0;2;28;304;0
81296;1976;1200;72;21;46140;6;5;0;2;1;51;369;0
81296;1975;1202;72;12;32940;6;4;0;0;1;38;267;0
81296;1974;1200;72;31;105720;17;11;0;0;0;109;959;0
81296;1973;1200;72;26;83700;11;11;2;1;1;90;751;0
81296;1972;1200;72;52;182160;25;22;3;0;1;182;1781;0
81303;2001;37;1;21;71820;0;0;0;0;0;70;588;0
81303;2000;124;11;40;136800;0;0;0;0;0;96;1263;0
81303;1999;124;11;55;188100;0;0;0;0;0;172;1737;0
81303;1998;124;11;37;126540;0;0;0;0;0;118;1283;0
81303;1997;124;11;6;20520;0;0;0;0;0;28;248;0
81303;2001;1512;10;6;20520;0;0;0;0;0;11;151;0
81303;2007;48;1;2;7200;0;0;0;0;0;5;53;0
81303;2004;37;1;50;171000;0;0;0;0;0;122;1341;0
81303;2003;37;1;40;136800;0;0;0;0;0;97;1141;0
81303;2002;37;1;37;126540;0;0;0;0;0;93;1011;0
81303;2012;472;22;16;54720;0;0;0;0;0;50;463;0
81303;2011;28;0;14;38700;2;4;2;1;0;36;310;0
81303;2010;0;0;16;44940;6;2;2;1;0;33;383;0
81303;2009;10;0;3;7140;0;1;0;0;0;5;52;0
81303;2009;12;0;21;70860;9;6;3;1;0;59;558;0
81303;2008;28;0;43;146940;16;18;7;7;1;101;1141;0
81303;2007;5;0;23;72780;9;7;5;3;2;47;578;0
81303;2007;26;0;9;30540;3;6;0;2;1;30;249;0
81303;2006;31;0;27;88260;7;13;5;5;1;82;729;0
81303;2005;18;0;67;231540;33;26;6;3;0;189;1938;0
81303;2003;18;0;6;20940;2;2;2;0;0;12;168;0
81303;2002;18;0;7;22920;3;3;0;0;1;10;165;0
81303;2001;18;0;1;3600;1;0;0;0;0;2;22;0
81317;1992;211;14;4;13680;0;0;0;0;0;10;100;0
81317;1993;211;14;30;102600;0;0;0;0;0;104;813;0
81317;1994;211;14;27;92340;0;0;0;0;0;84;840;0
81317;1995;211;14;23;78660;0;0;0;0;0;59;567;0
81317;1996;48;1;13;44460;0;0;0;0;0;48;429;0
81317;1996;73;10;20;68400;0;0;0;0;0;72;610;0
81317;2000;45;1;30;102600;0;0;0;0;0;87;978;0
81317;1999;45;1;11;37620;0;0;0;0;0;34;327;0
81317;1999;59;1;28;95760;0;0;0;0;0;100;0;0
81317;1998;11;0;3;6480;0;3;0;0;0;8;66;0
81327;1993;38;1;7;23940;0;0;0;0;0;25;0;0
81327;1999;573;3;6;20520;0;0;0;0;0;29;147;0
81327;2000;1511;10;29;99180;0;0;0;0;0;87;989;0
81327;1999;1511;10;31;106020;0;0;0;0;0;95;1118;0
81327;1993;1511;10;36;123120;0;0;0;0;0;122;0;0
81327;1992;75;10;36;123120;0;0;0;0;0;131;0;0
81327;1991;106;12;65;222300;0;0;0;0;0;201;0;0
81327;1990;106;12;46;157320;0;0;0;0;0;162;0;0
81327;1989;87;12;2;7200;0;0;0;0;0;25;0;0
81327;1999;40;1;4;13680;0;0;0;0;0;19;114;0
81327;1996;38;1;31;106020;0;0;0;0;0;114;958;0
81327;1995;38;1;37;126540;0;0;0;0;0;115;1139;0
81327;1994;38;1;52;177840;0;0;0;0;0;148;1480;0
81327;1996;5;0;8;23640;1;5;0;2;0;24;181;0
81327;1995;5;0;11;34260;5;1;2;0;0;31;264;0
81331;1909;9999;0;2;7200;0;2;0;0;0;26;0;0
81336;1978;56;1;24;82080;0;0;0;0;0;78;678;0
81336;1983;53;1;6;20520;0;0;0;0;0;35;0;0
81336;1983;40;1;13;44460;0;0;0;0;0;41;0;0
81336;1981;61;1;11;37620;0;0;0;0;0;52;0;0
81336;1980;56;1;25;85500;0;0;0;0;0;85;0;0
81336;1979;56;1;9;30780;0;0;0;0;0;30;275;0
81336;1982;10;0;3;6120;0;1;0;2;0;5;44;0
